Distrito,Candidato,Partido,Pacto,Votos,%,Resultado,Año
56,Christof Weber Schilling,ILC,Alianza por Chile,10 672,"15,57",,2001
56,Santiago Urzúa Lizana,PCCh,Partido Comunista,935,"1,36",,2001
56,Antonio Caileo Nauto,PCCh,Partido Comunista,709,"1,03",,2001
57,Eduardo Lagos Herrera,PRSD,Concertación por la Democracia,20 565,"27,37",Diputado,2001
57,Carlos Kuschel Silva,RN,Alianza por Chile,19 004,"25,29",Diputado,2001
57,Marisol Turres Figueroa,UDI,Alianza por Chile,17 594,"23,42",,2001
57,Sergio Elgueta Barrientos,DC,Concertación por la Democracia,14 545,"19,36",,2001
57,María Alvarado Barría,PCCh,Partido Comunista,2112,"2,81",,2001
57,Guido Ojeda Bertin,PCCh,Partido Comunista,1312,"1,75",,2001
58,Claudio Alvarado Andrade,UDI,Alianza por Chile,26 203,"40,48",Diputado,2001
58,Gabriel Ascencio Mansilla,PDC,Concertación por la Democracia,23 206,"35,85",Diputado,2001
58,José Luis Almendra Gómez,RN,Alianza por Chile,6371,"9,84",,2001
58,Ernesto Schulbach Bórquez,PRSD,Concertación por la Democracia,4738,"7,32",,2001
58,Mario Contreras Vega,PCCh,Partido Comunista,4210,"6,5",,2001
59,Gonzalo Fernández Ruiz,PCCh,Partido Comunista,4282,"11,57",,2001
59,Victoria Moya Cáceres,UDI,Alianza por Chile,3011,"8,13",,2001
59,Pablo Galilea Carrillo,RN,Alianza por Chile,14 918,"40,29",Diputado,2001
59,Leopoldo Sánchez Grunert,PPD,Concertación por la Democracia,7812,"21,1",Diputado,2001
59,Jorge Montecinos Soto,DC,Concertación por la Democracia,6999,"18,9",,2001
60,Rodrigo Álvarez Zenteno,UDI,Alianza por Chile,26 081,"41,76",Diputado,2001
60,Pedro Muñoz Aburto,PS,Concertación por la Democracia,17 302,"27,7",Diputado,2001
60,Carlos Mladinic Alonso,ILE,Concertación por la Democracia,15 914,"25,48",,2001
60,René Bobadilla López,IND,Independiente,1289,"2,06",,2001
60,Gladys Cooper O'Ryan,RN,Alianza por Chile,1103,"1,77",,2001
60,Jorge Patricio Ivelic Suárez,IND,Independiente,769,"1,23",,2001
1,Iván Paredes Fierro,PS,Concertación Democrática,18 958,"25,52",Diputado,2005
1,Ximena Valcarce Becerra,RN,Alianza,16 692,"22,47",Diputado,2005
1,Nino Baltolu Rasera,IND,Independiente,13 847,"18,64",,2005
1,Rolando Caviedes Encina,PDC,Concertación Democrática,8925,"12,02",,2005
1,Rosa González Román,UDI,Alianza,5895,"7,94",,2005
1,Wanda Clemente Garate,ILA,Fuerza Regional Independiente,5868,"7,9",,2005
1,Juan Riveros Díaz,PCCh,Juntos Podemos Más,1733,"2,33",,2005
1,Ricardo Pacheco Contreras,PH,Juntos Podemos Más,1108,"1,49",,2005
1,Bernardo Olivos Azua,PAR,Fuerza Regional Independiente,1248,"1,68",,2005
2,Fulvio Rossi Ciocca,PS,Concertación Democrática,36 823,"40,32",Diputado,2005
2,Marta Isasi Barbieri,PAR,Fuerza Regional Independiente,24 350,"26,66",Diputada,2005
2,Julio Lagos Cosgrove,UDI,Alianza,16 493,"18,06",,2005
2,Espartago Ferrari Pavez,RN,Alianza,6456,"7,07",,2005
2,Raúl Bagioli Garrido,PDC,Concertación Democrática,3208,"3,51",,2005
2,Pedro Cisternas Flores,PCCh,Juntos Podemos Más,2901,"3,18",,2005
2,Sara Chávez Olmedo,ILC,Juntos Podemos Más,1088,"1,19",,2005
3,Marcos Espinosa Monardes,PRSD,Concertación Democrática,21 629,"31,44",Diputado,2005
3,Waldo Mora Longa,PDC,Concertación Democrática,15 807,"22,97",,2005
