Pacto o partido,Sigla,Candidatos,Votos,% Votos,N° Diputados,% Diputados,Año
Chile Grande y Unido (J),,,2 256 664,"21,05 %",34,,2025
Unión Demócrata Independiente,UDI,,895 233,"8,35 %",18,,2025
Renovación Nacional,RN,,868 240,"8,10 %",13,,2025
Evolución Política,EVO,,302 634,"2,82 %",2,,2025
Demócratas,DEM,,190 557,"1,78 %",1,,2025
Cambio por Chile (K),,,2 467 220,"23,02 %",42,,2025
Partido Republicano,PRCh,,1 424 832,"13,29 %",31,,2025
Partido Nacional Libertario,PNL,,679 500,"6,34 %",8,,2025
Partido Social Cristiano,PSC,,362 888,"3,39 %",3,,2025
Independientes fuera de pacto,IND,,73 475,"0,69 %",1,,2025
