Distrito,parlamentario/a,coalición,partido político,Votos obtenidos,% obtenido,año elección
24,Tomás Jocelyn-Holt Letelier,Concertación de Partidos por la Democracia,DC,26126,"21,47%",1997
25,Andrés Palma Irarrázaval,Concertación de Partidos por la Democracia,DC,50462,"33,18%",1997
25,Jaime Orpis Bouchón,Unión por Chile,UDI,44878,"29,5%",1997
26,Carlos Montes Cisternas,Concertación de Partidos por la Democracia,PS,54536,"40,74%",1997
26,Lily Pérez San Martín,Unión por Chile,RN,41228,"30,8%",1997
27,Eliana Caraball Martínez,Concertación de Partidos por la Democracia,DC,39736,"25,58%",1997
27,Iván Moreira Barros,Unión por Chile,UDI,58049,"37,38%",1997
28,Rodolfo Seguel Molina,Concertación de Partidos por la Democracia,DC,38114,"25,43%",1997
28,Darío Paya Mira,Unión por Chile,UDI,34325,"22,9%",1997
29,Maximiano Errázuriz Eguiguren,Unión por Chile,RN,54260,"35,94%",1997
29,Isabel Allende Bussi,Concertación de Partidos por la Democracia,PS,53694,"35,57%",1997
30,Pablo Longueira Montes,Unión por Chile,UDI,51360,"40,45%",1997
30,Edgardo Riveros Marín,Concertación de Partidos por la Democracia,DC,36483,"28,73%",1997
31,Juan Antonio Coloma Correa,Unión por Chile,UDI,62772,"47,53%",1997
31,Jaime Jiménez Villavicencio,Concertación de Partidos por la Democracia,DC,34944,"26,46%",1997
32,Aníbal Pérez Lobos,Concertación de Partidos por la Democracia,PPD,30927,"37,88%",1997
32,Alejandro García-Huidobro,Chile 2000,UCCP,18890,"23,14%",1997
33,Juan Pablo Letelier Morel,Concertación de Partidos por la Democracia,PS,58710,"57,58%",1997
33,Ricardo Rincón González,Concertación de Partidos por la Democracia,DC,8911,"8,74%",1997
