Distrito ,parlamentario/a,coalición ,partido político ,votos obtenidos,% obtenido ,año elección ,región 
8[d],Pablo Vidal Rojas,FA,RD,12 135,"2,89 %",2017,
8[d],Pepe Auth Stewart,LFM,Ind-PR,26 839,"6,32 %",2017,
8[d],Carmen Hertz Cádiz,LFM,PCCh,16 035,"3,78 %",2017,
8[d],Gabriel Silber Romo,CODE,DC,29 205,"6,89 %",2017,
9[d],Érika Olivera De la Fuente,ChV,Ind-RN,30 817,"9,13 %",2017,
9[d],Jorge Durán Espinoza,ChV,RN,19 421,"5,78 %",2017,
9[d],Sebastián Keitel Bianchi,ChV,Ind-EVOP,30 243,"8,96 %",2017,
9[d],Karol Cariola Oliva,LFM,PCCh,50 446,"14,95 %",2017,
9[d],Boris Barrera Moreno,LFM,PCCh,4352,"1,29 %",2017,
9[d],Cristina Girardi Lavín,LFM,PPD,16 211,"4,80 %",2017,
9[d],Maite Orsini Pascal,FA,RD,21 814,"6,48 %",2017,
10[d],Marcela Sabat Fernández,ChV,RN,54 630,"12,50 %",2017,
10[d],Sebastián Torrealba Alvarado,ChV,RN,10 196,"2,34 %",2017,
10[d],Jorge Alessandri Vergara,ChV,UDI,30 833,"7,06 %",2017,
10[d],Luciano Cruz-Coke Carvallo,ChV,EVOP,38 143,"8,73 %",2017,
10[d],Giorgio Jackson Drago,FA,RD,103 523,"23,68 %",2017,
10[d],Natalia Castillo Muñoz,FA,RD,4453,"1,02 %",2017,
10[d],Gonzalo Winter Etcheberry,FA,RD,5 237,"1,20 %",2017,
10[d],Maya Fernández Allende,LFM,PS,28 437,"6,50 %",2017,
11[d],Gonzalo Fuenzalida Figueroa,ChV,RN,60 132,"15,96 %",2017,
11[d],Catalina del Real Mihovilovic,ChV,RN,43 499,"11,55 %",2017,
11[d],Karin Luck Urban,ChV,RN,6879,"1,83 %",2017,
11[d],Francisco Undurraga Gazitúa,ChV,EVOP,58 666,"15,56 %",2017,
11[d],Guillermo Ramírez Diez,ChV,UDI,30 731,"8,16 %",2017,
11[d],Tomás Hirsch Goldschmidt,FA,PH,23 627,"6,27 %",2017,
12[d],Ximena Ossandón Irarrázabal,ChV,RN,52 484,"14,99 %",2017,
12[d],Leopoldo Pérez Lahsen,ChV,RN,29 984,"8,58 %",2017,
12[d],Álvaro Carter Fernández,ChV,UDI,27 491,"7,84 %",2017,
12[d],Pamela Jiles Moreno,FA,PH,45 222,"12,91 %",2017,
12[d],Miguel Crispi Serrano,FA,RD,25 569,"7,34 %",2017,
12[d],Camila Vallejo Dowling,LFM,PCCh,47 807,"13,70 %",2017,
12[d],Amaro Labra Sepúlveda,LFM,PCCh,6316,"1,83 %",2017,
13[d],Guillermo Teillier del Valle,LFM,PCCh,28 798,"11,75 %",2017,
13[d],Tucapel Jiménez Fuentes,LFM,PPD,22 551,"9,21 %",2017,
13[d],Eduardo Durán Salinas,ChV,RN,19 744,"8,04 %",2017,
13[d],Cristhian Moreira Barros,ChV,UDI,18 125,"7,40 %",2017,
13[d],Gael Yeomans Araya,FA,RD,13 721,"5,59 %",2017,
14[d],Juan Antonio Coloma Álamos,ChV,UDI,35 779,"11,78 %",2017,
14[d],Jaime Bellolio Avaria[nota 5],ChV,UDI,32 044,"10,52 %",2017,
14[d],Raúl Leiva Carvajal,LFM,PS,44 744,"14,77 %",2017,
14[d],Leonardo Soto Ferrada,LFM,PS,22 170,"7,30 %",2017,
14[d],Marisela Santibáñez Novoa,PTCh,PRO,35 984,"11,87 %",2017,
14[d],Renato Garín González[nota 6],FA,RD,11 573,"3,82 %",2017,
15[d],Javier Macaya Danús,ChV,UDI,25 219,"13,98 %",2017,
15[d],Issa Kort Garriga[nota 7],ChV,UDI,16 773,"9,29 %",2017,
15[d],Diego Schalper Sepúlveda,ChV,Ind-RN,19 285,"10,71 %",2017,
15[d],Juan Luis Castro González,LFM,PS,17 845,"9,86 %",2017,
15[d],Raúl Soto Mardones,CODE,DC,9026,"5,01 %",2017,
16[d],Ramón Barros Montero,ChV,UDI,21 866,"15,91 %",2017,
16[d],Virginia Troncoso Hellman,ChV,UDI,7987,"5,80 %",2017,
16[d],Alejandra Sepúlveda Orbenes,CRV,FREVS,31 737,"23,05 %",2017,
16[d],Cosme Mellado Pino,LFM,PR,8864,"6,45 %",2017,
17[d],Celso Morales Espinosa,ChV,UDI,22 089,"9,03 %",2017,
