Distrito;Candidato;Partido;Pacto;Votos;%;Resultado;Año
1;82. FABIAN ANDRES ABURTO ABURTO;NT;AT. Nuevo Tiempo;545;0,68%;;2021
2;60. RENZO TRISOTTI MARTINEZ;UDI;AA. Chile Podemos +;11075;11,06%;Diputado;2021
2;61. ERICA PANIAGUA HERBAS;IND-PRI;AA. Chile Podemos +;1206;1,20%;;2021
2;62. KAREN ROSE HEYNE BOLADOS;IND-EVOP;AA. Chile Podemos +;1457;1,46%;;2021
2;63. RAMON ERNESTO GALLEGUILLOS CASTILLO;RN;AA. Chile Podemos +;10002;9,99%;;2021
2;64. CARLOS ALBERTO MELLA LATORRE;PDG;AB. Partido de la Gente;4036;4,03%;;2021
2;65. MARIO HERNAN ROJAS CARRASCO;PDG;AB. Partido de la Gente;3607;3,60%;;2021
2;66. DENISSE CAROLINA GALLEGOS CASTRO;PDG;AB. Partido de la Gente;8075;8,06%;;2021
2;67. MARCO PEREZ BARRIA;IND-PPD;AH. Nuevo Pacto Social;6730;6,72%;;2021
2;68. DANISA ASTUDILLO PEIRETTI;PS;AH. Nuevo Pacto Social;7562;7,55%;Diputado;2021
2;69. EVA TERESA PORTALES PIÑONES;PDC;AH. Nuevo Pacto Social;1619;1,62%;;2021
2;70. CAROLINA INES GONZALEZ VELASQUEZ;PH;AN. Dignidad Ahora;1490;1,49%;;2021
2;71. LUIS FELIPE GARCIA MERINO;PH;AN. Dignidad Ahora;430;0,43%;;2021
2;72. LEONARDO DANTE SOLARI ALCOTA;PREP;AP. Frente Social Cristiano;9902;9,89%;;2021
2;73. CARLOS ALFONSO ARELLANO GAJARDO;PREP;AP. Frente Social Cristiano;2018;2,02%;;2021
2;74. MINERVA BEATRIZ CAMPODONICO SALUZZI;PREP;AP. Frente Social Cristiano;1582;1,58%;;2021
2;75. CYNTHIA LESLIE KAREN BROUDISSOND ARAYA;IND-PREP;AP. Frente Social Cristiano;1337;1,34%;;2021
2;76. MATIAS FELIPE RAMIREZ PASCAL;PCCH;AR. Apruebo Dignidad;9892;9,88%;Diputado;2021
2;77. ALEJANDRA MARJORIE CEBALLOS ROJAS;COM;AR. Apruebo Dignidad;3943;3,94%;;2021
2;78. ENZO MORALES NORAMBUENA;IND-FREVS;AR. Apruebo Dignidad;7584;7,57%;;2021
2;79. CAMILA PAZ CASTILLO GUERRERO;RD;AR. Apruebo Dignidad;5116;5,11%;;2021
2;80. JANET VIOLETA ORDENES GUERRA;NT;AT. Nuevo Tiempo;1462;1,46%;;2021
3;60. JOSE MIGUEL CASTRO BASCUÑAN;RN;AA. Chile Podemos +;8653;4,75%;Diputado;2021
3;61. LEDY OSANDON FERRER;IND-RN;AA. Chile Podemos +;6251;3,43%;;2021
3;62. ROSSANA DIAZ CORRO;UDI;AA. Chile Podemos +;4557;2,50%;;2021
3;63. LUIS GARRIDO AMPUERO;UDI;AA. Chile Podemos +;3115;1,71%;;2021
