Distrito,parlamentario/a,coalición,partido político,Votos obtenidos ,% obtenido,año elección
37,Germán Verdugo Soto,Alianza,Renovación Nacional,22336,"26,65%",2005
38,Pablo Lorenzini Basso,Concertación,Democracia Cristiana ,27268,"36,88%",2005
38,Pedro Álvarez-Salamanca Buchi,Alianza,Renovación Nacional,14288,"19,32%",2005
39,Jorge Tarud Daccarett,Concertación,Partido por la Democracia ,30926,"37,86%",2005
39,Osvaldo Palma Flores,Alianza,Renovación Nacional,18094,"22,15%",2005
40,Guillermo Ceroni Fuentes,Concertación,Partido por la Democracia ,30380,"42,16%",2005
40,Ignacio Urrutia Bonilla,Alianza,Unión Demócrata Independiente,19777,"27,45%",2005
41,Carlos Abel Jarpa Wevar,Concertación,Partido Radical,31370,"25,40%",2005
41,Rosauro Martínez Labbé,Alianza,Renovación Nacional,34643,"28,05%",2005
42,Nicolás Monckeberg Díaz,Alianza,Renovación Nacional,36609,"32,67%",2005
42,Jorge Sabag Villalobos,Concertación,Democracia Cristiana ,33452,"29,85%",2005
43,Raúl Súnico Galdames,Concertación,Partido Socialista,29833,"27,25%",2005
43,Jorge Ulloa Aguillón,Alianza,Unión Demócrata Independiente,31265,"28,55%",2005
44,José Miguel Ortiz Novoa,Concertación,Democracia Cristiana ,53270,"32,26%",2005
44,Andrés Egaña Respaldiza,Alianza,Unión Demócrata Independiente,32220,"19,57%",2005
45,Clemira Pacheco Rivas,Concertación,Partido Socialista,37448,"33,52%",2005
45,Sergio Bobadilla Muñoz,Alianza,Unión Demócrata Independiente,26460,"23,68%",2005
46,Manuel Monsalve Benavides,Concertación,Partido Socialista,28888,"29,58%",2005
46,Iván Norambuena Farías,Alianza,Unión Demócrata Independiente,23847,"24,42%",2005
47,José Pérez Arriagada,Concertación,Partido Radical,67053,"48,59%",2005
47,Juan Lobos Krause,Alianza,Unión Demócrata Independiente,33274,"24,11%",2005
48,Mario Venegas Cárdenas,Concertación,Democracia Cristiana ,23775,"35,75%",2005
48,Gonzalo Arenas Hodar,Alianza,Unión Demócrata Independiente,16751,"25,19%",2005
49,Jaime Quintana Leal,Concertación,Partido por la Democracia ,26953,"40,68%",2005
49,Enrique Estay Peñaloza,Alianza,Unión Demócrata Independiente,10953,"16,53%",2005
50,Eduardo Saffirio Suárez,Concertación,Democracia Cristiana ,35501,"30,81%",2005
50,Germán Becker Alvear,Alianza,Renovación Nacional,37036,"32,14%",2005
